ALBUMID,ALBUMNAME,ARTISTFAMILIARITY,ARTISTNAME,TITLE
676528,Weezer (Rarities Edition),0.8311972,Weezer,Mykel And Carli
107850,Lost,0.71867234,Roger Sanchez,Lost
735421,Time Is Ripe,0.69903576,Angels,Fifi
257800,Cactuses Come In Flocks,0.63924956,Melt Banana,So Far So Bad So What?
505846,Voice From Home,0.601246,FFH,Listen
10180,22-20s,0.5932406,22-20s,Hold On
155036,Le Baptême,0.58951265,M,Je Suis Une Cigarette
810618,Live at Gruene Hall,0.5682104,Guy Forsyth,When I Think About Love
221691,Sangre Gitana,0.56158996,Los Chichos,Nieve
336169,L'adorer,0.5586792,Étienne Daho,Cet Air Étrange (Take 1 - Abbey Road Rough Mix)
148122,Steve Camp Compact Favorites,0.52707875,STEVE CAMP,Upon This Rock (Fire And Ice Version)
600607,Chakra Suite,0.52547574,Steven Halpern,6th Chakra: Keynote A - Chakra Suite (Solo Electric Piano Plus Synths)
74971,Peachy Pink,0.5072582,Elvira,Momentum
345570,Ministry of Sound Presents 100,0.50564426,Mish Mash,Speechless
219141,Welcome To Violence,0.5033546,"Buzzov¬en""",I Don't Like You
343272,Return,0.48214832,The Winans,Together We Stand (Album Version)
671562,House Candy - Bienvenue a La Discoteque,0.47880444,Cookies,Believe In What I Say
668028,In Your Ear,0.47718,Séamus Egan,Poultry in the Parlour / Rolling the Ryegrass
802468,Muscles,0.45646808,Punk'd Royal,Young Urbans
462618,The Big 14 'n More,0.44577274,Cutting Edge,She's Got A Brain (Leli / Zimmerman)
598147,Furious EP,0.4152809,Non Stop DJs,Hydraulic Pimp
800656,Sincerely_,0.4055928,Hard Romantic,Sincerely_
581460,Christmas To Elvis from The Jordanaires,0.38230827,The Jordanaires & Orion,Up on the House Top
255671,Lo Mejor De Alfredo Gutierrez Y Su Conjunto - 24 Temas Originales,0.37813014,Alfredo Gutiérrez,Dos Mujeres
448651,Hobson's Choice,0.2817143,Helen Hobson,Merry-Go-Round
